no,timestamp,teks,teks_processed,tokens,matched_words,unmatched_words,removed_words
12813,2024-12-10T11:46:42.000Z,tahun?? Hallo belasan tahun RUU MASYARAKAT ADAT mandek di balegnas DPR RI Belum di keluarin karna takut Ngehambat perusahaan untuk ngerampas hutan dan wilayah adat masyarakat ya??,tahun ? ? halo bas tahun RUU MASYARAKAT ADAT mandek di balegnas DPR RI belum di keluar karena takut ngehambat usaha untuk rampas hutan dan wilayah adat masyarakat ya ? ?,"['tahun', '?', '?', 'halo', 'bas', 'tahun', 'RUU', 'MASYARAKAT', 'ADAT', 'mandek', 'di', 'balegnas', 'DPR', 'RI', 'belum', 'di', 'keluar', 'karena', 'takut', 'ngehambat', 'usaha', 'untuk', 'rampas', 'hutan', 'dan', 'wilayah', 'adat', 'masyarakat', 'ya', '?', '?']","['halo', 'RUU', 'DPR', 'keluar', 'takut', 'usaha', 'rampas', 'hutan']","['di', 'di', 'karena', 'untuk', 'dan', 'ya']","['tahun', '?', '?', 'bas', 'tahun', 'MASYARAKAT', 'ADAT', 'mandek', 'balegnas', 'RI', 'belum', 'ngehambat', 'wilayah', 'adat', 'masyarakat', '?', '?']"
12814,2024-12-10T11:12:34.000Z,Kepala Kejaksaan Tinggi Jambi Dr Hermon Dekristo SH MH menghadiri Rapat Dengar Pendapat RDP dengan Komisi III DPR RI dalam Kunjungan Kerja Kunker Reses di Provinsi Jambi pada Senin,kepala jaksa tinggi jambi dari hermon dekristo SH MAH hadir rapat dengar dapat RDP dengan komisi II DPR RI dalam kunjung kerja kunker reses di provinsi jambi pada senin,"['kepala', 'jaksa', 'tinggi', 'jambi', 'dari', 'hermon', 'dekristo', 'SH', 'MAH', 'hadir', 'rapat', 'dengar', 'dapat', 'RDP', 'dengan', 'komisi', 'II', 'DPR', 'RI', 'dalam', 'kunjung', 'kerja', 'kunker', 'reses', 'di', 'provinsi', 'jambi', 'pada', 'senin']","['tinggi', 'hadir', 'rapat', 'dengar', 'dapat', 'komisi', 'DPR', 'dalam', 'kunjung', 'kerja', 'reses']","['dari', 'dengan', 'di', 'pada']","['kepala', 'jaksa', 'jambi', 'hermon', 'dekristo', 'SH', 'MAH', 'RDP', 'II', 'RI', 'kunker', 'provinsi', 'jambi', 'senin']"
12815,2024-12-10T08:56:49.000Z,KALAPAS NARKOTIKA GUNUNG SINDUR IKUTI KUNJUNGAN RESES ANGGOTA DPR RI DI KEMENKUMHAM JABAR Kemenimipas Kemenkumham KanwilKemenkumhamJawaBarat KumhamJawaBarat LPNGunungSindur LapasNarkotikaGunungSindur,KALAPAS NARKOTIKA GUNUNG SINDUR IKUT KUNJUNG RESES ANGGOTA DPR RI DI KEMENKUMHAM JABAR kemenimipas kemenkumham kanwilkemenkumhamjawabarat kumhamjawabarat lpngunungsindur lapasnarkotikagunungsindur,"['KALAPAS', 'NARKOTIKA', 'GUNUNG', 'SINDUR', 'IKUT', 'KUNJUNG', 'RESES', 'ANGGOTA', 'DPR', 'RI', 'DI', 'KEMENKUMHAM', 'JABAR', 'kemenimipas', 'kemenkumham', 'kanwilkemenkumhamjawabarat', 'kumhamjawabarat', 'lpngunungsindur', 'lapasnarkotikagunungsindur']","['NARKOTIKA', 'IKUT', 'KUNJUNG', 'RESES', 'ANGGOTA', 'DPR', 'JABAR']",['DI'],"['KALAPAS', 'GUNUNG', 'SINDUR', 'RI', 'KEMENKUMHAM', 'kemenimipas', 'kemenkumham', 'kanwilkemenkumhamjawabarat', 'kumhamjawabarat', 'lpngunungsindur', 'lapasnarkotikagunungsindur']"
12816,2024-12-10T07:27:18.000Z,Karutan Labuhan Deli Hadiri Undangan Kunjungan Kerja Reses Komisi XIII DPR RI di Kanwil Kemenkumham Sumut,karut labuh deli hadir undang kunjung kerja reses komisi XII DPR RI di kanwil kemenkumham sumut,"['karut', 'labuh', 'deli', 'hadir', 'undang', 'kunjung', 'kerja', 'reses', 'komisi', 'XII', 'DPR', 'RI', 'di', 'kanwil', 'kemenkumham', 'sumut']","['karut', 'labuh', 'hadir', 'undang', 'kunjung', 'kerja', 'reses', 'komisi', 'DPR']",['di'],"['deli', 'XII', 'RI', 'kanwil', 'kemenkumham', 'sumut']"
12817,2024-12-10T06:40:34.000Z,TVR BALEG DPR RI RUU Ombudsman RI Diupayakan Selesai Pada Akhir Jabatan,TVR BALEG DPR RI RUU ombudsman RI upaya selesai pada akhir jabatan,"['TVR', 'BALEG', 'DPR', 'RI', 'RUU', 'ombudsman', 'RI', 'upaya', 'selesai', 'pada', 'akhir', 'jabatan']","['BALEG', 'DPR', 'RUU', 'upaya', 'selesai']",['pada'],"['TVR', 'RI', 'ombudsman', 'RI', 'akhir', 'jabatan']"
12818,2024-12-10T06:09:04.000Z,Anggota DPR RI Agun Gunanjar Sudarsa menyampaikan kehadiran saya bersama dalam melaksanakan tugas reses ke daerah asal pemilihan sebagai representasi wakil rakyat yang ada di Komisi XIII kemenhumhamjabar Masjuno,anggota DPR RI agun gunanjar sudarsa sampai hadir saya sama dalam laksana tugas reses ke daerah asal pilih bagai representasi wakil rakyat yang ada di komisi XII kemenhumhamjabar masjuno,"['anggota', 'DPR', 'RI', 'agun', 'gunanjar', 'sudarsa', 'sampai', 'hadir', 'saya', 'sama', 'dalam', 'laksana', 'tugas', 'reses', 'ke', 'daerah', 'asal', 'pilih', 'bagai', 'representasi', 'wakil', 'rakyat', 'yang', 'ada', 'di', 'komisi', 'XII', 'kemenhumhamjabar', 'masjuno']","['anggota', 'DPR', 'sampai', 'hadir', 'sama', 'dalam', 'tugas', 'reses', 'pilih', 'wakil', 'rakyat', 'ada', 'komisi']","['saya', 'ke', 'yang', 'di']","['RI', 'agun', 'gunanjar', 'sudarsa', 'laksana', 'daerah', 'asal', 'bagai', 'representasi', 'XII', 'kemenhumhamjabar', 'masjuno']"
12819,2024-12-10T06:08:11.000Z,Kegiatan ini merupakan tindak lanjut dari Surat Plt Direktur Jenderal Pemasyarakatan tentang Masa Reses Anggota DPR RI kemenhumhamjabar Masjuno,giat ini rupa tindakan lanjut dari surat plt direktur jenderal masyarakat tentang masa reses anggota DPR RI kemenhumhamjabar masjuno,"['giat', 'ini', 'rupa', 'tindakan', 'lanjut', 'dari', 'surat', 'plt', 'direktur', 'jenderal', 'masyarakat', 'tentang', 'masa', 'reses', 'anggota', 'DPR', 'RI', 'kemenhumhamjabar', 'masjuno']","['rupa', 'tindakan', 'lanjut', 'direktur', 'tentang', 'reses', 'anggota', 'DPR']","['ini', 'dari']","['giat', 'surat', 'plt', 'jenderal', 'masyarakat', 'masa', 'RI', 'kemenhumhamjabar', 'masjuno']"
12820,2024-12-10T06:07:54.000Z,Masa Reses Anggota DPR RI di Wilayah Jawa Barat dijadikan Agun Gunanjar Sudarsa sebagai sarana dalam rangka Optimalisasi Tugas dan Fungsi Pengamanan di Unit Pelaksana Teknis Pemasyarakatan kemenhumhamjabar Masjuno,masa reses anggota DPR RI di wilayah jawa barat jadi agun gunanjar sudarsa bagai sarana dalam rangka optimalisasi tugas dan fungsi aman di unit laksana teknis masyarakat kemenhumhamjabar masjuno,"['masa', 'reses', 'anggota', 'DPR', 'RI', 'di', 'wilayah', 'jawa', 'barat', 'jadi', 'agun', 'gunanjar', 'sudarsa', 'bagai', 'sarana', 'dalam', 'rangka', 'optimalisasi', 'tugas', 'dan', 'fungsi', 'aman', 'di', 'unit', 'laksana', 'teknis', 'masyarakat', 'kemenhumhamjabar', 'masjuno']","['reses', 'anggota', 'DPR', 'jadi', 'dalam', 'tugas', 'unit']","['di', 'dan', 'di']","['masa', 'RI', 'wilayah', 'jawa', 'barat', 'agun', 'gunanjar', 'sudarsa', 'bagai', 'sarana', 'rangka', 'optimalisasi', 'fungsi', 'aman', 'laksana', 'teknis', 'masyarakat', 'kemenhumhamjabar', 'masjuno']"
12821,2024-12-10T06:07:36.000Z,dan Ishfan Taufik pada masa Reses Anggota DPR RI di Wilayah Jawa Barat yang dilaksanakan di Ruang Rapat Sahardjo Kanwil Kemenkumham Jabar kemenhumhamjabar Masjuno,dan ishfan taufik pada masa reses anggota DPR RI di wilayah jawa barat yang laksana di ruang rapat sahardjo kanwil kemenkumham jabar kemenhumhamjabar masjuno,"['dan', 'ishfan', 'taufik', 'pada', 'masa', 'reses', 'anggota', 'DPR', 'RI', 'di', 'wilayah', 'jawa', 'barat', 'yang', 'laksana', 'di', 'ruang', 'rapat', 'sahardjo', 'kanwil', 'kemenkumham', 'jabar', 'kemenhumhamjabar', 'masjuno']","['reses', 'anggota', 'DPR', 'ruang', 'rapat', 'jabar']","['dan', 'pada', 'di', 'yang', 'di']","['ishfan', 'taufik', 'masa', 'RI', 'wilayah', 'jawa', 'barat', 'laksana', 'sahardjo', 'kanwil', 'kemenkumham', 'kemenhumhamjabar', 'masjuno']"
12822,2024-12-10T05:42:12.000Z,Surabaya menjadi lokasi Kunjungan Kerja Reses Komisi XI DPR RI Senin untuk membahas digitalisasi sistem pembayaran Hadir sejumlah pemangku kepentingan yaitu Deputi Gubernur Senior BI Direktur Jenderal Pajak Kementerian Keuangan RI Kepala Perwakilan BI Jatim,surabaya jadi lokasi kunjung kerja reses komisi XI DPR RI senin untuk bahas digitalisasi sistem bayar hadir jumlah mang penting yaitu deputi gubernur senior BI direktur jenderal pajak menteri uang RI kepala wakil BI jatim,"['surabaya', 'jadi', 'lokasi', 'kunjung', 'kerja', 'reses', 'komisi', 'XI', 'DPR', 'RI', 'senin', 'untuk', 'bahas', 'digitalisasi', 'sistem', 'bayar', 'hadir', 'jumlah', 'mang', 'penting', 'yaitu', 'deputi', 'gubernur', 'senior', 'BI', 'direktur', 'jenderal', 'pajak', 'menteri', 'uang', 'RI', 'kepala', 'wakil', 'BI', 'jatim']","['jadi', 'kunjung', 'kerja', 'reses', 'komisi', 'DPR', 'bahas', 'sistem', 'bayar', 'hadir', 'penting', 'senior', 'direktur', 'pajak', 'wakil']",['untuk'],"['surabaya', 'lokasi', 'XI', 'RI', 'senin', 'digitalisasi', 'jumlah', 'mang', 'yaitu', 'deputi', 'gubernur', 'BI', 'jenderal', 'menteri', 'uang', 'RI', 'kepala', 'BI', 'jatim']"
