Accuracy,Precision (M),Recall (M),F1-Score (M),Pearson-r,Konfigurasi,Accuracy_norm,Precision (M)_norm,Recall (M)_norm,F1-Score (M)_norm,Pearson-r_norm,Composite_Score
0.6,0.58,0.57,0.56,0.55,SLA + Ignore Function,1.0,1.0,1.0,1.0,0.9230769230769229,0.9846153846153847
0.6,0.58,0.57,0.56,0.54,SLA + Remove Function,1.0,1.0,1.0,1.0,0.8461538461538463,0.9692307692307693
0.6,0.58,0.57,0.56,0.54,RSN + Remove Function,1.0,1.0,1.0,1.0,0.8461538461538463,0.9692307692307693
0.6,0.58,0.57,0.55,0.55,RSN + Ignore Function,1.0,1.0,1.0,0.5,0.9230769230769229,0.8846153846153847
0.58,0.55,0.55,0.54,0.56,SLA + Tanpa Perlakuan,0.5999999999999996,0.0,0.0,0.0,1.0000000000000004,0.32
0.58,0.55,0.55,0.54,0.55,RSN + Tanpa Perlakuan,0.5999999999999996,0.0,0.0,0.0,0.9230769230769229,0.3046153846153845
0.55,0.56,0.55,0.55,0.43,VTB (Translation Based),0.0,0.3333333333333357,0.0,0.5,0.0,0.16666666666666713
