Accuracy,Precision (M),Recall (M),F1-Score (M),Pearson-r,Konfigurasi,Accuracy_norm,Precision (M)_norm,Recall (M)_norm,F1-Score (M)_norm,Pearson-r_norm,Composite_Score
0.58,0.57,0.55,0.54,0.52,RSN + Tanpa Perlakuan,1.0,0.33333333333333215,1.0,1.0,1.0,0.8666666666666665
0.58,0.57,0.55,0.54,0.52,SLA + Tanpa Perlakuan,1.0,0.33333333333333215,1.0,1.0,1.0,0.8666666666666665
0.56,0.59,0.54,0.52,0.46,RSN + Ignore Function,0.5,1.0,0.5,0.3333333333333357,0.40000000000000036,0.5466666666666672
0.56,0.59,0.54,0.52,0.46,SLA + Ignore Function,0.5,1.0,0.5,0.3333333333333357,0.40000000000000036,0.5466666666666672
0.56,0.58,0.53,0.51,0.46,RSN + Remove Function,0.5,0.6666666666666643,0.0,0.0,0.40000000000000036,0.3133333333333329
0.56,0.58,0.53,0.51,0.46,SLA + Remove Function,0.5,0.6666666666666643,0.0,0.0,0.40000000000000036,0.3133333333333329
0.54,0.56,0.53,0.54,0.42,VTB (Translation Based),0.0,0.0,0.0,1.0,0.0,0.2
