topic_id,top_words,word_probability
1,"komisi, terkait, sidang, pembahasan, ruang, pks, jakarta, pimpinan, jabatan, pemerintah","[('komisi', np.float32(0.0376)), ('terkait', np.float32(0.0227)), ('sidang', np.float32(0.0112)), ('pembahasan', np.float32(0.0112)), ('ruang', np.float32(0.0107)), ('pks', np.float32(0.0104)), ('jakarta', np.float32(0.0098)), ('pimpinan', np.float32(0.0094)), ('jabatan', np.float32(0.0089)), ('pemerintah', np.float32(0.0086))]"
2,"kebijakan, rakyat, negara, wakil_rakyat, masyarakat, undang_undang, ppn, pemerintah, orang, presiden","[('kebijakan', np.float32(0.09)), ('rakyat', np.float32(0.0328)), ('negara', np.float32(0.025)), ('wakil_rakyat', np.float32(0.0239)), ('masyarakat', np.float32(0.0186)), ('undang_undang', np.float32(0.0177)), ('ppn', np.float32(0.0165)), ('pemerintah', np.float32(0.0129)), ('orang', np.float32(0.0108)), ('presiden', np.float32(0.0107))]"
3,"undang_undang, partai, pengesahan, wakil_rakyat, presiden, menolak, pemerintah, setuju, ketua, perampasan_aset","[('undang_undang', np.float32(0.0211)), ('partai', np.float32(0.0164)), ('pengesahan', np.float32(0.0155)), ('wakil_rakyat', np.float32(0.0153)), ('presiden', np.float32(0.0137)), ('menolak', np.float32(0.0132)), ('pemerintah', np.float32(0.0114)), ('setuju', np.float32(0.0108)), ('ketua', np.float32(0.0105)), ('perampasan_aset', np.float32(0.0103))]"
4,"reses, komisi, gedung, indonesia, mkd, dibahas, wakil_ketua, kota, aneh, news","[('reses', np.float32(0.036)), ('komisi', np.float32(0.0188)), ('gedung', np.float32(0.0126)), ('indonesia', np.float32(0.0105)), ('mkd', np.float32(0.0102)), ('dibahas', np.float32(0.0102)), ('wakil_ketua', np.float32(0.0096)), ('kota', np.float32(0.0081)), ('aneh', np.float32(0.0079)), ('news', np.float32(0.0073))]"
5,"wakil_rakyat, rakyat, aspirasi_rakyat, daerah, kebijakan, sih, parlemen, partai, reses, fungsi","[('wakil_rakyat', np.float32(0.0609)), ('rakyat', np.float32(0.0545)), ('aspirasi_rakyat', np.float32(0.0351)), ('daerah', np.float32(0.0154)), ('kebijakan', np.float32(0.014)), ('sih', np.float32(0.0123)), ('parlemen', np.float32(0.0122)), ('partai', np.float32(0.0122)), ('reses', np.float32(0.0112)), ('fungsi', np.float32(0.0107))]"
6,"koruptor, rakyat, korupsi, bikin, kebijakan, undang_undang, perampasan_aset, presiden, negeri, jokowi","[('koruptor', np.float32(0.0443)), ('rakyat', np.float32(0.0247)), ('korupsi', np.float32(0.0191)), ('bikin', np.float32(0.0182)), ('kebijakan', np.float32(0.0158)), ('undang_undang', np.float32(0.0154)), ('perampasan_aset', np.float32(0.0154)), ('presiden', np.float32(0.0154)), ('negeri', np.float32(0.0132)), ('jokowi', np.float32(0.0111))]"
